etnia;genero;nhijos;edad;promedio;he;sv;modalidad;rendimiento
Mestizos;MASCULINO;0;23;8.365;8.3;0;0;BAJO
Mestizos;MASCULINO;1;21;8.855;26.2;0;0;ALTO
Mestizos;MASCULINO;0;24;8.36;37.3;0;0;BAJO
Mestizos;FEMENINO;0;22;8.505;2.3;0;0;ALTO
Mestizos;FEMENINO;0;23;8.78;9.7;0;0;ALTO
Mestizos;FEMENINO;1;24;9.015;44.9;0;0;ALTO
Mestizos;FEMENINO;0;25;8.605;32.5;0;0;ALTO
Mestizos;FEMENINO;0;21;8.38;49.9;0;0;BAJO
Mestizos;FEMENINO;0;24;8.13;35.2;0;0;BAJO
Mestizos;MASCULINO;0;22;8.165;25.8;0;0;BAJO
Mestizos;FEMENINO;0;20;8.8;4.1;0;0;ALTO
Mestizos;FEMENINO;1;22;8.68;41.7;0;0;ALTO
Mestizos;MASCULINO;0;22;8.36;34.8;0;0;BAJO
Mestizos;FEMENINO;0;22;8.825;28.4;0;0;ALTO
Mestizos;MASCULINO;0;24;8.17;4.7;0;0;BAJO
Mestizos;MASCULINO;0;22;8.965;8.5;0;0;ALTO
Mestizos;FEMENINO;0;20;8.685;3.6;0;0;ALTO
Mestizos;FEMENINO;0;29;8.835;23.1;0;0;ALTO
Mestizos;MASCULINO;0;24;8.205;1.8;0;0;BAJO
Mestizos;MASCULINO;0;21;8.61;1.4;0;0;ALTO
Mestizos;FEMENINO;0;21;8.92;43.4;0;0;ALTO
Mestizos;MASCULINO;0;21;8.965;20;0;0;ALTO
Mestizos;MASCULINO;0;22;8.97;34.1;0;0;ALTO
Mestizos;MASCULINO;0;21;8.41;7.6;0;0;BAJO
Mestizos;FEMENINO;0;23;8.225;35.3;0;0;BAJO
Mestizos;MASCULINO;3;50;9.49;30.3;0;0;ALTO
Mestizos;MASCULINO;0;39;9.465;21.4;0;0;ALTO
Mestizos;MASCULINO;3;40;9.515;23;0;0;ALTO
Mestizos;MASCULINO;0;21;8.44;15.9;0;0;BAJO
Mestizos;FEMENINO;3;37;9.145;36.2;0;0;ALTO
